Code,Borough,Average Recycling Rate,Average IMD Score,CTax Band A,CTax Band B,CTax Band C,CTax Band D,CTax Band E,CTax Band F,CTax Band G,CTax Band H,Flytipping Incidents,AccomA caravan or other mobile or temporary structure,AccomDetached,"AccomIn a commercial building, for example, in an office building, hotel or over a shop",AccomIn a purpose-built block of flats or tenement,"AccomPart of a converted or shared house, including bedsits","AccomPart of another converted building, for example, former school, church or warehouse",AccomSemi-detached,AccomTerraced
E09000001,City of London,30.941976,14.72,1011.889556,1180.537481,1349.186074,1517.834,1855.130519,2192.42637,2529.723556,3035.668,1193.333333,0,0.142450142,4.131054131,86.95563696,1.343101343,5.535205535,0.305250305,1.587301587
E09000002,Barking and Dagenham,24.80513765,32.768,1029.937333,1201.593778,1373.250222,1544.906667,1888.219556,2231.532444,2574.844,3089.813333,3459.133333,0.081191897,5.075846764,1.023017903,27.67425811,2.133993694,0.259814071,22.13561753,41.61626003
E09000003,Barnet,32.07398008,16.148,1092.779111,1274.908519,1457.038593,1639.168667,2003.428815,2367.688296,2731.947778,3278.337333,4532.266667,0.120872701,10.10361477,1.33094274,36.56130596,8.821021106,0.7071053,27.47772249,14.87741494
E09000004,Bexley,48.43505897,16.273,1032.049556,1204.057259,1376.06563,1548.074,1892.090741,2236.106815,2580.123556,3096.148,2106.533333,0.043022939,7.402044114,1.223530399,21.32048941,1.770236521,0.358874268,44.23387689,23.64792545
E09000005,Brent,31.90733994,25.558,995.3484444,1161.23963,1327.130815,1493.022667,1824.805704,2156.588074,2488.371111,2986.045333,17728.86667,0.080936162,6.021313189,1.531885475,38.01133106,16.48231208,0.638215358,22.31393114,14.92007554
E09000006,Bromley,43.17907286,14.163,1015.560667,1184.821333,1354.081333,1523.341333,1861.861333,2200.382,2538.902,3046.682667,3051.533333,0.167860587,18.08403337,1.305336936,23.48207646,5.830946719,0.659662659,29.86298748,20.60709579
E09000007,Camden,28.42977752,20.131,662.9877778,773.4860741,883.9843704,994.482,1215.477926,1436.473852,1657.469778,1988.964,16926.06667,0.076542438,1.70765101,2.385752326,56.23066225,26.1796699,1.778803135,3.551137895,8.089781046
E09000008,Croydon,34.61318747,22.477,1130.625778,1319.063407,1507.501037,1695.938667,2072.813926,2449.689185,2826.564444,3391.877333,16270.85714,0.089574098,12.23569103,1.463261543,28.95466374,8.482078642,0.770206478,24.741412,23.26311247
E09000009,Ealing,39.53929629,22.71,1004.126222,1171.48037,1338.835185,1506.189333,1840.898296,2175.606593,2510.315556,3012.378667,9593.2,0.17058335,5.086077256,1.387111979,34.50571978,12.69424431,0.902296142,21.8653439,23.38862329
E09000010,Enfield,32.90656165,25.781,1060.673556,1237.451926,1414.230963,1591.01,1944.568074,2298.125481,2651.683556,3182.02,21031.13333,0.091793952,7.491544206,1.179262837,30.41274199,6.50496597,0.651654359,24.79759847,28.87043821
