Area Code,Boroughs,Year,Total Incidents,Total Action Taken,Warning Letters,Fixed Penalty Notices,Statutory Notices,Formal cautions,Injunctions,Prosecutions,Recycling Rate
E09000001,City of London,2011/12,527,563,149,182,3,0,0,0,37
E09000002,Barking and Dagenham,2011/12,3665,2687,140,78,110,0,0,0,30
E09000003,Barnet,2011/12,1450,2356,337,46,0,0,0,0,34
E09000004,Bexley,2011/12,980,505,0,36,0,0,0,19,54
E09000005,Brent,2011/12,7272,6713,679,558,1100,28,0,11,37
E09000006,Bromley,2011/12,2222,306,16,9,16,2,0,5,50
E09000007,Camden,2011/12,6679,5541,465,31,55,1,0,0,33
E09000008,Croydon,2011/12,2740,31,17,6,4,0,0,0,38
E09000009,Ealing,2011/12,4964,6727,3852,82,193,4,0,23,41
E09000010,Enfield,2011/12,19486,7262,191,4483,478,5,0,576,35
E09000011,Greenwich,2011/12,5120,6344,19,974,36,1,0,7,39
E09000012,Hackney,2011/12,1030,2332,22,18,171,0,0,0,24
E09000013,Hammersmith and Fulham,2011/12,5700,6944,0,389,3300,2,0,10,30
E09000014,Haringey,2011/12,15713,8817,1455,280,796,18,0,49,26
E09000015,Harrow,2011/12,8037,1053,177,0,6,6,0,2,48
E09000016,Havering,2011/12,2972,13970,7354,657,1264,0,0,9,36
E09000017,Hillingdon,2011/12,4398,5120,60,2208,144,0,0,0,43
E09000018,Hounslow,2011/12,17059,1234,8,0,0,0,0,0,35
E09000019,Islington,2011/12,2048,6959,1119,3595,610,0,0,20,32
E09000020,Kensington and Chelsea,2011/12,5482,4773,0,120,0,0,0,0,34
E09000021,Kingston upon Thames,2011/12,239,0,0,0,0,0,0,0,47
E09000022,Lambeth,2011/12,1696,598,0,212,31,0,0,0,28
E09000023,Lewisham,2011/12,15757,789,164,101,22,15,0,18,17
E09000024,Merton,2011/12,2526,1279,171,255,42,2,0,17,37
E09000025,Newham,2011/12,40499,9593,1,8876,234,0,0,0,23
E09000026,Redbridge,2011/12,5110,6114,3172,66,286,0,0,4,33
E09000027,Richmond upon Thames,2011/12,3208,2610,645,16,1,1,0,3,45
E09000028,Southwark,2011/12,16823,0,0,0,0,0,0,0,27
E09000029,Sutton,2011/12,1479,1255,65,120,112,0,0,4,37
E09000030,Tower Hamlets,2011/12,6184,3251,790,1079,297,0,0,0,27
E09000031,Waltham Forest,2011/12,4456,17182,252,991,6031,0,0,155,27
E09000032,Wandsworth,2011/12,1561,8226,4609,255,0,366,0,32,28
E09000033,Westminster,2011/12,14694,8367,1943,5622,0,0,0,0,25
E09000001,City of London,2012/13,449,1492,658,245,3,0,0,0,36
E09000002,Barking and Dagenham,2012/13,2417,2122,123,49,56,0,0,0,27
E09000003,Barnet,2012/13,1697,1828,264,67,0,0,0,0,33
E09000004,Bexley,2012/13,1038,627,38,47,0,0,0,1,54
E09000005,Brent,2012/13,6911,2232,182,184,268,12,0,9,43
E09000006,Bromley,2012/13,2495,479,21,24,15,1,0,2,49
E09000007,Camden,2012/13,11477,5962,0,0,1,0,0,0,31
E09000008,Croydon,2012/13,11150,108,12,12,24,0,0,0,44
E09000009,Ealing,2012/13,6352,5679,3506,30,79,3,0,15,41
E09000010,Enfield,2012/13,17871,3595,167,663,160,3,0,557,39
E09000011,Greenwich,2012/13,5170,7482,31,1788,186,0,0,2,40
E09000012,Hackney,2012/13,599,1456,35,17,283,0,0,25,24
E09000013,Hammersmith and Fulham,2012/13,7079,1719,0,68,40,0,0,2,23
E09000014,Haringey,2012/13,12398,4719,300,335,548,5,0,2,32
E09000015,Harrow,2012/13,6228,0,0,0,0,0,0,0,45
E09000016,Havering,2012/13,2842,13762,7637,459,1778,0,0,17,35
E09000017,Hillingdon,2012/13,4506,4188,0,3770,418,0,0,0,43
